senior_citizen,partner,dependents,tenure,phone_service,multiple_lines,online_security,online_backup,device_protection,tech_support,streaming_tv,streaming_movies,monthly_charges,total_charges,gender_F,gender_M,internet_service_DSL,internet_service_Fiber optic,internet_service_No,contract_Month-to-month,contract_One year,contract_Two year,payment_method_Bank transfer (automatic),payment_method_Credit card (automatic),payment_method_Electronic check,payment_method_Mailed check
0.0,1.0,1.0,0.0497519637871241,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5286812295185538,0.178589608863896,0,1,0,1,0,1,0,0,0,0,0,1
1.0,0.0,0.0,0.2637345902089357,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.6764438963674587,0.4110383269707194,0,1,0,1,0,1,0,0,0,0,1,0
0.0,0.0,0.0,0.4504984555118551,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.7021758594385581,0.5725860304640664,0,1,0,1,0,0,1,0,0,1,0,0
0.0,0.0,0.0,0.1267439425207783,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3339062692807772,0.2216024161842194,0,1,1,0,0,1,0,0,0,0,0,1
0.0,0.0,0.0,0.4346085497692368,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.3298716144683355,0.442683983884971,1,0,1,0,0,1,0,0,0,0,0,1
0.0,1.0,1.0,0.7862708497641429,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.8146729889069859,0.8195500785914654,0,1,0,1,0,1,0,0,0,0,1,0
0.0,0.0,1.0,0.7051197889498053,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0769404631363188,0.455663269415324,0,1,0,0,1,0,1,0,1,0,0,0
0.0,1.0,1.0,0.4346085497692368,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.3741328961553405,0.4554035560891011,1,0,1,0,0,0,1,0,0,1,0,0
0.0,0.0,0.0,0.0909403957994292,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.3323935365374655,0.1850744091513687,0,1,1,0,0,1,0,0,0,0,0,1
0.0,0.0,0.0,0.2149224348532317,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.623832107422754,0.3755657936686382,1,0,0,1,0,1,0,0,0,0,0,1
0.0,0.0,1.0,0.5897975123201569,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0172525644448461,0.3558172212529948,0,1,0,0,1,0,1,0,0,0,0,1
0.0,0.0,0.0,0.6943649565089509,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019939584936256,0.4072074593648731,0,1,0,0,1,0,1,0,0,0,0,1
0.0,0.0,0.0,0.9035271062199788,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.817557161295581,0.8832914905332282,1,0,0,1,0,0,0,1,0,0,1,0
0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.3821529492958223,0.0823847385913852,1,0,1,0,0,1,0,0,0,0,0,1
0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.6623403595526988,0.8841899596680558,1,0,1,0,0,0,0,1,0,1,0,0
0.0,0.0,0.0,0.187958695105774,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.3926669632364337,0.3072115039240613,1,0,1,0,0,1,0,0,0,0,1,0
0.0,0.0,0.0,0.7958718306578962,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.2772088117218095,0.6161126501940586,1,0,1,0,0,1,0,0,0,0,1,0
0.0,1.0,1.0,0.4956904250574305,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.4096606872920602,0.5097133259519634,0,1,1,0,0,1,0,0,0,0,0,1
0.0,1.0,0.0,0.3073952537968367,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.7631336097943462,0.4778110737467716,1,0,0,1,0,1,0,0,0,0,1,0
0.0,0.0,1.0,0.683456556708244,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0220875691397102,0.4130910686682946,1,0,0,0,1,0,1,0,1,0,0,0
1.0,0.0,0.0,0.1587688878906996,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.6340813164591088,0.3017529089592097,1,0,0,1,0,1,0,0,0,0,1,0
0.0,0.0,0.0,0.8864558080665539,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.5301593877294783,0.7763020661865521,0,1,1,0,0,0,0,1,1,0,0,0
0.0,1.0,0.0,0.0909403957994292,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.1777826354932881,0.1403133113196634,0,1,1,0,0,1,0,0,0,0,0,1
0.0,1.0,1.0,0.7261920732051075,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.4330948502691356,0.6567826063370653,0,1,1,0,0,0,1,0,1,0,0,0
0.0,0.0,0.0,0.2637345902089357,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5768555046640058,0.4019905117133077,1,0,0,1,0,1,0,0,0,0,1,0
1.0,0.0,0.0,0.2861143725768439,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.7761579217986034,0.4438267954428114,0,1,0,1,0,1,0,0,0,0,1,0
0.0,0.0,0.0,0.6943649565089509,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.5286812295185538,0.6702013367972174,0,1,1,0,0,1,0,0,0,0,1,0
1.0,0.0,0.0,0.2149224348532317,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.3116875100117223,0.2879350155490769,1,0,1,0,0,1,0,0,0,0,1,0
0.0,1.0,1.0,0.5100224772679167,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0285229685033614,0.33025829362114,0,1,0,0,1,0,0,1,0,0,0,1
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7259171158977645,0.9197774099384398,1,0,1,0,0,0,0,1,1,0,0,0
0.0,0.0,0.0,0.2149224348532317,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5827388912245566,0.3390450107388592,1,0,0,1,0,1,0,0,0,0,0,1
0.0,1.0,0.0,0.3073952537968367,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2883829976598302,0.3518761737539732,0,1,1,0,0,1,0,0,1,0,0,0
1.0,1.0,0.0,0.9923125145751528,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0705920305810273,0.5935139200305363,0,1,0,0,1,0,0,1,1,0,0,0
0.0,0.0,0.0,0.9448958980460652,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0140251089933381,0.5013053602858787,0,1,0,0,1,0,0,1,0,1,0,0
0.0,1.0,1.0,0.8147539374979358,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.8535583165120499,0.8469080211843517,0,1,0,1,0,0,1,0,1,0,0,0
1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.2302672783179263,0.0555514735771308,0,1,1,0,0,1,0,0,0,0,1,0
0.0,0.0,0.0,0.4810095504676461,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5812683536798439,0.5526552417621282,0,1,0,1,0,1,0,0,0,0,0,1
0.0,0.0,0.0,0.4659549029553728,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8995061067419566,0.6265335132106734,0,1,0,1,0,1,0,0,1,0,0,0
0.0,1.0,0.0,0.8602376838401232,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.8559550854522621,0.870037623061531,1,0,0,1,0,1,0,0,0,1,0,0
0.0,0.0,0.0,0.2149224348532317,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5207939499644838,0.3415701364475225,0,1,0,1,0,1,0,0,1,0,0,0
0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.520300783151618,0.1028135397981938,1,0,0,1,0,1,0,0,0,0,0,1
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0226243404047026,0.0052497002976651,0,1,0,0,1,1,0,0,0,0,0,1
0.0,1.0,0.0,0.968889251268496,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.6730411537722722,0.8717877660140229,1,0,0,1,0,0,0,1,1,0,0,0
0.0,1.0,1.0,0.4504984555118551,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.8525994946073758,0.6061268650627419,0,1,0,1,0,1,0,0,0,0,1,0
0.0,1.0,0.0,0.9845657700648542,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.8621847802811193,0.940472696237708,1,0,0,1,0,0,0,1,1,0,0,0
0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9776716728117402,0.9947128458803526,1,0,0,1,0,0,0,1,0,1,0,0
0.0,1.0,1.0,0.9119467666736026,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.4445391959061034,0.7562003365428248,1,0,1,0,0,0,0,1,1,0,0,0
0.0,0.0,0.0,0.7862708497641429,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.5690058302784394,0.7380287896517821,1,0,1,0,0,0,0,1,0,0,0,1
0.0,0.0,0.0,0.3839512352318975,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.3916662237748926,0.4505046609816949,1,0,1,0,0,0,1,0,0,0,0,1
0.0,1.0,1.0,0.5100224772679167,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.6701237300799674,0.5976209309282602,1,0,0,1,0,1,0,0,0,0,0,1
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.7201071768912403,0.1279506662304533,0,1,0,1,0,1,0,0,0,0,1,0
0.0,1.0,1.0,0.7667314905909031,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.6399337916857071,0.7412932039565803,1,0,1,0,0,1,0,0,0,0,0,1
0.0,0.0,0.0,0.7667314905909031,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.937685978341354,0.8356647135798105,0,1,0,1,0,0,1,0,0,1,0,0
0.0,1.0,1.0,0.9119467666736026,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.5099384669619818,0.7834030334100608,0,1,1,0,0,0,0,1,1,0,0,0
1.0,1.0,0.0,0.661153324059002,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.8286075049182737,0.7336965290687512,0,1,0,1,0,1,0,0,0,0,1,0
0.0,1.0,1.0,0.968889251268496,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.4330948502691356,0.7802208354857731,1,0,1,0,0,0,0,1,0,1,0,0
0.0,1.0,1.0,0.8053650839901318,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.2200145046013294,0.586172110692679,0,1,1,0,0,1,0,0,0,0,1,0
0.0,1.0,0.0,0.7958718306578962,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.4360817935850979,0.6983787960490426,1,0,1,0,0,0,1,0,1,0,0,0
0.0,0.0,0.0,0.577158862668874,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.4291106395313349,0.5636126194460448,1,0,1,0,0,0,1,0,0,0,1,0
0.0,0.0,0.0,0.9035271062199788,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.4440419295107432,0.7482676655118998,0,1,1,0,0,0,0,1,0,0,1,0
0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3308804886406524,0.0739373870590266,1,0,1,0,0,1,0,0,0,0,0,1
0.0,0.0,0.0,0.3471906800900553,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.645783230931817,0.4688531758078569,1,0,0,1,0,1,0,0,0,0,0,1
0.0,1.0,1.0,0.968889251268496,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7133254494432927,0.8926258250666022,0,1,1,0,0,0,0,1,0,1,0,0
0.0,0.0,0.0,0.9367645159985818,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.865538096781362,0.927499829365084,0,1,0,1,0,0,1,0,0,1,0,0
1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.8918582951854243,0.9637575905048604,1,0,0,1,0,0,0,1,1,0,0,0
0.0,1.0,0.0,0.842324957517367,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.735594309554179,0.8260951145542069,1,0,0,1,0,0,1,0,0,0,1,0
0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.6915014042603169,0.9029731107662808,1,0,1,0,0,0,0,1,1,0,0,0
1.0,0.0,0.0,0.7765586355295433,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.9166991536834352,0.8267984663401291,1,0,0,1,0,0,1,0,0,0,1,0
0.0,0.0,0.0,0.2637345902089357,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.7703709530587575,0.4421156349687593,1,0,0,1,0,1,0,0,0,0,1,0
0.0,1.0,0.0,0.577158862668874,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.3736313703215189,0.5327724001417847,0,1,1,0,0,0,1,0,0,0,0,1
0.0,1.0,0.0,0.0909403957994292,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0279871691908671,0.1066863532550701,1,0,0,0,1,1,0,0,0,0,0,1
0.0,0.0,0.0,0.4659549029553728,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013486874963036,0.3160100902392448,1,0,0,0,1,1,0,0,1,0,0,0
0.0,0.0,0.0,0.9845657700648542,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.8593098776340373,0.9430999372658664,0,1,0,1,0,0,0,1,0,1,0,0
0.0,0.0,1.0,0.3277165405465304,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.8717635892613363,0.5103121160854343,1,0,0,1,0,1,0,0,0,0,1,0
1.0,1.0,0.0,0.7365203006549813,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.8708059979450531,0.8107071063021467,1,0,0,1,0,0,1,0,1,0,0,0
0.0,0.0,0.0,0.8147539374979358,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9581677955351354,0.8758301583928308,0,1,0,1,0,0,1,0,0,1,0,0
0.0,0.0,0.0,0.6022053266017849,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.7660290333135091,0.6721852598374484,0,1,0,1,0,1,0,0,0,1,0,0
1.0,0.0,0.0,0.0909403957994292,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.5670424834476302,0.2153369693529859,1,0,0,1,0,1,0,0,0,0,1,0
1.0,1.0,0.0,0.1267439425207783,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5778362984264788,0.2742897185647945,0,1,0,1,0,1,0,0,0,0,1,0
0.0,1.0,0.0,0.7157269759830088,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.4688710051366963,0.6681688698600716,1,0,1,0,0,0,1,0,1,0,0,0
0.0,0.0,0.0,0.4504984555118551,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.77422921798989,0.5803291992176176,1,0,0,1,0,1,0,0,0,0,1,0
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5212870917599675,0.1029490576886384,1,0,0,1,0,1,0,0,0,0,1,0
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5321299201974511,0.1044303258839625,1,0,0,1,0,1,0,0,0,0,1,0
0.0,1.0,0.0,0.9035271062199788,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.8449265581779277,0.8938225323545304,0,1,0,1,0,0,1,0,1,0,0,0
0.0,0.0,0.0,0.6022053266017849,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.6204135994581653,0.6487905068038925,1,0,1,0,0,0,1,0,0,1,0,0
0.0,1.0,1.0,0.7365203006549813,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.3111817276645604,0.6082858594873342,0,1,1,0,0,0,0,1,0,1,0,0
0.0,1.0,1.0,0.8950307844930321,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6929575709495254,0.8441685939944532,0,1,1,0,0,0,0,1,0,0,1,0
0.0,0.0,0.0,0.7051197889498053,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.2343634066584349,0.5423304065107047,0,1,1,0,0,1,0,0,0,0,1,0
0.0,0.0,0.0,0.1267439425207783,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5311447032082696,0.2395221324487273,0,1,0,1,0,1,0,0,0,0,1,0
0.0,1.0,0.0,0.0909403957994292,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.7747114206883481,0.2670613158157461,1,0,0,1,0,1,0,0,0,0,1,0
0.0,1.0,1.0,0.7261920732051075,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.6121070830230537,0.7098107430691691,1,0,1,0,0,0,0,1,0,0,1,0
0.0,1.0,1.0,0.8147539374979358,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.627737681227545,0.775858865435153,1,0,1,0,0,0,1,0,1,0,0,0
0.0,1.0,0.0,0.842324957517367,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.9338723676372832,0.8767659558800671,1,0,0,1,0,0,1,0,1,0,0,0
0.0,0.0,0.0,0.5897975123201569,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018865050156262,0.3740971765961994,1,0,0,0,1,0,1,0,0,0,0,1
0.0,0.0,0.0,0.0909403957994292,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0145632498251588,0.089450685793389,1,0,0,0,1,1,0,0,0,0,0,1
0.0,1.0,1.0,0.4013792551953058,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0161771155465649,0.2763799569100573,0,1,0,0,1,1,0,0,0,0,1,0
0.0,0.0,0.0,0.1587688878906996,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.5846992886053793,0.3110698227724548,1,0,0,1,0,1,0,0,0,0,0,1
0.0,0.0,1.0,0.0497519637871241,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0145632498251588,0.0464122041924432,1,0,0,0,1,1,0,0,0,0,1,0
0.0,1.0,1.0,0.661153324059002,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0177901511316507,0.3915886303697046,0,1,0,0,1,0,1,0,0,0,1,0
0.0,0.0,0.0,0.683456556708244,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.8214017731492571,0.7603026107945174,1,0,0,1,0,1,0,0,0,0,1,0
0.0,0.0,0.0,0.5100224772679167,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.3881626526012446,0.5183007282052906,1,0,1,0,0,0,1,0,1,0,0,0
0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9648304081745692,0.989485450395828,1,0,0,1,0,0,0,1,0,1,0,0
